"level","start_date","end_date","lower_age_limit","geography","geography_code","proportion_pos","proportion_pos_high_95","proportion_pos_low_95","population"
"age_school","2020-09-08","2020-09-08",16,"England","E92000001",0.0019,0.0031,0.0011,5950637
"age_school","2020-09-08","2020-09-08",25,"England","E92000001",0.0016,0.00255,0.00095,7596145
"age_school","2020-09-08","2020-09-08",35,"England","E92000001",0.00075,0.00125,0.00045,10853151
"age_school","2020-09-08","2020-09-08",50,"England","E92000001",6e-04,0.00095,4e-04,13618246
"age_school","2020-09-08","2020-09-08",70,"England","E92000001",5e-04,0.00085,3e-04,7679719
"age_school","2020-09-09","2020-09-09",2,"England","E92000001",0.0014,0.0025,8e-04,6254603
"age_school","2020-09-09","2020-09-09",11,"England","E92000001",0.00105,0.00195,5e-04,3370248
"age_school","2020-09-09","2020-09-09",16,"England","E92000001",0.002,0.0032,0.00115,5950637
"age_school","2020-09-09","2020-09-09",25,"England","E92000001",0.0016,0.0026,0.001,7596145
"age_school","2020-09-09","2020-09-09",35,"England","E92000001",0.00085,0.0013,5e-04,10853151
"age_school","2020-09-09","2020-09-09",50,"England","E92000001",0.00065,0.00105,0.00045,13618246
"age_school","2020-09-09","2020-09-09",70,"England","E92000001",0.00055,0.00085,3e-04,7679719
"age_school","2020-09-10","2020-09-10",2,"England","E92000001",0.00145,0.0026,0.00085,6254603
"age_school","2020-09-10","2020-09-10",11,"England","E92000001",0.00115,0.00215,6e-04,3370248
"age_school","2020-09-10","2020-09-10",16,"England","E92000001",0.00205,0.00335,0.0012,5950637
"age_school","2020-09-10","2020-09-10",25,"England","E92000001",0.00165,0.0026,0.00105,7596145
"age_school","2020-09-10","2020-09-10",35,"England","E92000001",0.00085,0.0014,0.00055,10853151
"age_school","2020-09-10","2020-09-10",50,"England","E92000001",0.00075,0.0011,0.00045,13618246
"age_school","2020-09-10","2020-09-10",70,"England","E92000001",0.00055,0.00095,3e-04,7679719
"age_school","2020-09-11","2020-09-11",2,"England","E92000001",0.0015,0.0026,0.00085,6254603
"age_school","2020-09-11","2020-09-11",11,"England","E92000001",0.00125,0.0023,0.00065,3370248
"age_school","2020-09-11","2020-09-11",16,"England","E92000001",0.00215,0.0035,0.0013,5950637
"age_school","2020-09-11","2020-09-11",25,"England","E92000001",0.0017,0.00265,0.00105,7596145
"age_school","2020-09-11","2020-09-11",35,"England","E92000001",9e-04,0.0014,6e-04,10853151
"age_school","2020-09-11","2020-09-11",50,"England","E92000001",0.00075,0.0012,0.00055,13618246
"age_school","2020-09-11","2020-09-11",70,"England","E92000001",6e-04,0.001,0.00035,7679719
"age_school","2020-09-12","2020-09-12",2,"England","E92000001",0.0016,0.0026,9e-04,6254603
"age_school","2020-09-12","2020-09-12",11,"England","E92000001",0.0014,0.0026,8e-04,3370248
"age_school","2020-09-12","2020-09-12",16,"England","E92000001",0.0024,0.0038,0.0015,5950637
"age_school","2020-09-12","2020-09-12",25,"England","E92000001",0.0018,0.0028,0.0011,7596145
"age_school","2020-09-12","2020-09-12",35,"England","E92000001",0.001,0.0015,6e-04,10853151
"age_school","2020-09-12","2020-09-12",50,"England","E92000001",9e-04,0.0013,6e-04,13618246
"age_school","2020-09-12","2020-09-12",70,"England","E92000001",7e-04,0.0011,4e-04,7679719
"age_school","2020-09-13","2020-09-13",2,"England","E92000001",0.0016,0.0026,9e-04,6254603
"age_school","2020-09-13","2020-09-13",11,"England","E92000001",0.0016,0.0028,9e-04,3370248
"age_school","2020-09-13","2020-09-13",16,"England","E92000001",0.0025,0.0039,0.0015,5950637
"age_school","2020-09-13","2020-09-13",25,"England","E92000001",0.0018,0.0028,0.0011,7596145
"age_school","2020-09-13","2020-09-13",35,"England","E92000001",0.001,0.0016,7e-04,10853151
"age_school","2020-09-13","2020-09-13",50,"England","E92000001",0.001,0.0014,7e-04,13618246
"age_school","2020-09-13","2020-09-13",70,"England","E92000001",7e-04,0.0011,4e-04,7679719
"age_school","2020-09-14","2020-09-14",2,"England","E92000001",0.0015,0.0025,9e-04,6254603
"age_school","2020-09-14","2020-09-14",11,"England","E92000001",0.0017,0.0029,9e-04,3370248
"age_school","2020-09-14","2020-09-14",16,"England","E92000001",0.0026,0.004,0.0016,5950637
"age_school","2020-09-14","2020-09-14",25,"England","E92000001",0.0018,0.0028,0.0011,7596145
"age_school","2020-09-14","2020-09-14",35,"England","E92000001",0.0011,0.0016,7e-04,10853151
"age_school","2020-09-14","2020-09-14",50,"England","E92000001",0.001,0.0014,7e-04,13618246
"age_school","2020-09-14","2020-09-14",70,"England","E92000001",8e-04,0.0012,5e-04,7679719
"age_school","2020-09-15","2020-09-15",2,"England","E92000001",0.0015,0.0024,9e-04,6254603
"age_school","2020-09-15","2020-09-15",11,"England","E92000001",0.0018,0.003,0.001,3370248
"age_school","2020-09-15","2020-09-15",16,"England","E92000001",0.0027,0.0041,0.0017,5950637
"age_school","2020-09-15","2020-09-15",25,"England","E92000001",0.0018,0.0027,0.0012,7596145
"age_school","2020-09-15","2020-09-15",35,"England","E92000001",0.0012,0.0017,8e-04,10853151
"age_school","2020-09-15","2020-09-15",50,"England","E92000001",0.0011,0.0015,7e-04,13618246
"age_school","2020-09-15","2020-09-15",70,"England","E92000001",8e-04,0.0012,5e-04,7679719
"age_school","2020-09-16","2020-09-16",2,"England","E92000001",0.0015,0.0023,9e-04,6254603
"age_school","2020-09-16","2020-09-16",11,"England","E92000001",0.0019,0.0032,0.0011,3370248
"age_school","2020-09-16","2020-09-16",16,"England","E92000001",0.0028,0.0042,0.0018,5950637
"age_school","2020-09-16","2020-09-16",25,"England","E92000001",0.0018,0.0027,0.0012,7596145
"age_school","2020-09-16","2020-09-16",35,"England","E92000001",0.0012,0.0018,8e-04,10853151
"age_school","2020-09-16","2020-09-16",50,"England","E92000001",0.0011,0.0016,8e-04,13618246
