"WeekEndDate"	"LTLA"	"Lineage"	"Count"
"2020-09-05"	"E07000070"	"B.1.1.37"	2
"2020-09-05"	"E07000071"	"B.1.177"	2
"2020-09-05"	"E07000071"	"B.1.177.82"	1
"2020-09-05"	"E07000071"	"B.1.258"	1
"2020-09-05"	"E07000072"	"B.1.177"	2
"2020-09-05"	"E07000072"	"B.1.177.57"	1
"2020-09-05"	"E07000072"	"B.1.221"	1
"2020-09-05"	"E07000072"	"B.1.221.1"	4
"2020-09-05"	"E07000072"	"B.1.367"	1
"2020-09-05"	"E07000072"	"C.35"	1
"2020-09-05"	"E07000074"	"Lineage data suppressed"	1
"2020-09-05"	"E07000075"	"Lineage data suppressed"	1
"2020-09-05"	"E07000077"	"AD.2"	1
"2020-09-05"	"E07000077"	"B.1"	1
"2020-09-05"	"E07000077"	"B.1.1.37"	3
"2020-09-05"	"E07000077"	"B.1.160"	1
"2020-09-05"	"E07000077"	"B.1.258"	1
"2020-09-05"	"E07000078"	"B.1.1.406"	1
"2020-09-05"	"E07000078"	"B.1.160"	1
"2020-09-05"	"E07000078"	"B.1.258"	2
"2020-09-05"	"E07000079"	"B.1.177"	1
"2020-09-05"	"E07000081"	"AD.2"	1
"2020-09-05"	"E07000081"	"B.1.1.277"	1
"2020-09-05"	"E07000081"	"B.1.258"	1
"2020-09-05"	"E07000082"	"B.1.160"	1
"2020-09-05"	"E07000082"	"B.1.177.65"	1
"2020-09-05"	"E07000084"	"AD.2"	1
"2020-09-05"	"E07000084"	"B.1.1.130"	2
"2020-09-05"	"E07000084"	"B.1.1.269"	1
"2020-09-05"	"E07000084"	"B.1.177"	2
"2020-09-05"	"E07000085"	"B.1.1.232"	1
"2020-09-05"	"E07000085"	"B.1.160"	2
"2020-09-05"	"E07000085"	"B.1.221"	1
"2020-09-05"	"E07000086"	"Lineage data suppressed"	1
"2020-09-05"	"E07000087"	"Lineage data suppressed"	3
"2020-09-05"	"E07000089"	"AD.2"	1
"2020-09-05"	"E07000089"	"B.1.177"	1
"2020-09-05"	"E07000091"	"Lineage data suppressed"	5
"2020-09-05"	"E07000092"	"AD.2"	1
"2020-09-05"	"E07000092"	"B"	2
"2020-09-05"	"E07000092"	"B.1.1.269"	1
"2020-09-05"	"E07000093"	"Lineage data suppressed"	14
"2020-09-05"	"E07000095"	"B.1.1.311"	6
"2020-09-05"	"E07000095"	"B.1.177"	1
"2020-09-05"	"E07000095"	"B.1.177.57"	2
"2020-09-05"	"E07000096"	"AD.2"	6
"2020-09-05"	"E07000096"	"B.1.1.187"	1
"2020-09-05"	"E07000096"	"B.1.1.301"	1
"2020-09-05"	"E07000096"	"B.1.1.37"	1
"2020-09-05"	"E07000096"	"B.1.177.44"	1
"2020-09-05"	"E07000096"	"B.1.177.57"	1
"2020-09-05"	"E07000096"	"B.1.221.1"	1
"2020-09-05"	"E07000096"	"B.1.36.17"	1
"2020-09-05"	"E07000096"	"B.1.367"	1
"2020-09-05"	"E07000096"	"B.1.389"	1
"2020-09-05"	"E07000096"	"C.30"	2
"2020-09-05"	"E07000098"	"B.1.1"	5
"2020-09-05"	"E07000098"	"B.1.1.269"	1
"2020-09-05"	"E07000098"	"B.1.1.37"	21
"2020-09-05"	"E07000098"	"B.1.177"	1
"2020-09-05"	"E07000098"	"B.1.177.44"	3
"2020-09-05"	"E07000098"	"B.1.177.57"	1
"2020-09-05"	"E07000098"	"B.1.177.82"	1
"2020-09-05"	"E07000098"	"B.1.221"	1
"2020-09-05"	"E07000098"	"B.1.235"	1
"2020-09-05"	"E07000099"	"AD.2"	3
"2020-09-05"	"E07000099"	"B.1.1.240"	1
"2020-09-05"	"E07000102"	"B.1.160"	1
"2020-09-05"	"E07000102"	"B.1.36.12"	1
"2020-09-05"	"E07000102"	"B.1.416.1"	1
"2020-09-05"	"E07000103"	"B.1.1.37"	2
"2020-09-05"	"E07000103"	"B.1.177.56"	1
"2020-09-05"	"E07000103"	"B.1.177.82"	1
"2020-09-05"	"E07000105"	"Lineage data suppressed"	1
"2020-09-05"	"E07000106"	"B"	2
"2020-09-05"	"E07000106"	"B.1.1"	1
"2020-09-05"	"E07000106"	"B.1.177"	1
"2020-09-05"	"E07000107"	"Lineage data suppressed"	4
"2020-09-05"	"E07000108"	"Lineage data suppressed"	2
"2020-09-05"	"E07000109"	"AD.2"	1
"2020-09-05"	"E07000109"	"B.1.1"	1
"2020-09-05"	"E07000109"	"B.1.160"	5
"2020-09-05"	"E07000109"	"B.1.177.57"	1
"2020-09-05"	"E07000110"	"Lineage data suppressed"	1
"2020-09-05"	"E07000111"	"B.1.1.70"	1
"2020-09-05"	"E07000111"	"B.1.110.3"	1
"2020-09-05"	"E07000111"	"B.1.160"	1
"2020-09-05"	"E07000111"	"B.1.177"	1
"2020-09-05"	"E07000111"	"B.1.221"	1
"2020-09-05"	"E07000111"	"B.1.367"	1
"2020-09-05"	"E07000111"	"B.1.416.1"	1
"2020-09-05"	"E07000112"	"B.1.177"	1
"2020-09-05"	"E07000113"	"Lineage data suppressed"	1
"2020-09-05"	"E07000114"	"B"	1
"2020-09-05"	"E07000114"	"B.1.177"	1
"2020-09-05"	"E07000115"	"B.1.1"	1
"2020-09-05"	"E07000115"	"B.1.160"	1
"2020-09-05"	"E07000115"	"B.1.177.87"	1
"2020-09-05"	"E07000116"	"B.1.177.87"	1
"2020-09-05"	"E07000116"	"B.1.258.3"	1
"2020-09-05"	"E07000120"	"AD.2"	1
"2020-09-05"	"E07000120"	"B.1.177"	1
"2020-09-05"	"E07000122"	"B.1.1"	1
"2020-09-05"	"E07000122"	"B.1.1.1"	1
"2020-09-05"	"E07000123"	"Lineage data suppressed"	1
"2020-09-05"	"E07000125"	"Lineage data suppressed"	1
"2020-09-05"	"E07000126"	"Lineage data suppressed"	1
"2020-09-05"	"E07000127"	"Lineage data suppressed"	1
"2020-09-05"	"E07000130"	"Lineage data suppressed"	1
"2020-09-05"	"E07000132"	"Lineage data suppressed"	1
"2020-09-05"	"E07000134"	"B.1.258"	1
"2020-09-05"	"E07000134"	"B.1.36.17"	1
"2020-09-05"	"E07000135"	"Lineage data suppressed"	1
"2020-09-05"	"E07000136"	"Lineage data suppressed"	1
"2020-09-05"	"E07000138"	"Lineage data suppressed"	3
"2020-09-05"	"E07000141"	"AD.2"	1
"2020-09-05"	"E07000141"	"B.1.177.57"	1
"2020-09-05"	"E07000141"	"B.1.258"	2
"2020-09-05"	"E07000141"	"None"	1
"2020-09-05"	"E07000143"	"Lineage data suppressed"	11
"2020-09-05"	"E07000144"	"Lineage data suppressed"	2
"2020-09-05"	"E07000145"	"AD.2"	1
"2020-09-05"	"E07000145"	"B.1.1.198"	2
"2020-09-05"	"E07000145"	"B.1.160"	2
"2020-09-05"	"E07000145"	"B.1.177.7"	1
"2020-09-05"	"E07000146"	"Lineage data suppressed"	1
"2020-09-05"	"E07000148"	"B.1"	1
"2020-09-05"	"E07000148"	"B.1.1.198"	7
"2020-09-05"	"E07000148"	"B.1.160"	1
"2020-09-05"	"E07000148"	"C.35"	2
"2020-09-05"	"E07000149"	"B.1.1.198"	2
"2020-09-05"	"E07000149"	"B.1.160"	1
"2020-09-05"	"E07000150"	"B.1.177"	1
"2020-09-05"	"E07000150"	"B.1.258"	1
"2020-09-05"	"E07000150"	"B.1.36"	1
"2020-09-05"	"E07000150"	"B.1.36.17"	1
"2020-09-05"	"E07000150"	"C.35"	1
"2020-09-05"	"E07000151"	"B.1.1.37"	1
"2020-09-05"	"E07000151"	"B.1.36.17"	2
"2020-09-05"	"E07000151"	"C.30"	1
"2020-09-05"	"E07000152"	"B.1.1.115"	5
"2020-09-05"	"E07000152"	"B.1.36.17"	1
"2020-09-05"	"E07000152"	"None"	2
"2020-09-05"	"E07000153"	"Lineage data suppressed"	6
"2020-09-05"	"E07000154"	"AD.2"	6
"2020-09-05"	"E07000154"	"B.1"	1
"2020-09-05"	"E07000154"	"B.1.1.115"	1
"2020-09-05"	"E07000154"	"B.1.1.217"	2
"2020-09-05"	"E07000154"	"B.1.160"	1
"2020-09-05"	"E07000154"	"B.1.177"	1
"2020-09-05"	"E07000154"	"B.1.177.57"	2
"2020-09-05"	"E07000154"	"B.1.221"	1
"2020-09-05"	"E07000154"	"B.1.258"	1
"2020-09-05"	"E07000154"	"B.1.36.17"	6
"2020-09-05"	"E07000154"	"None"	1
"2020-09-05"	"E07000155"	"AD.2"	1
"2020-09-05"	"E07000155"	"B.1.177"	1
"2020-09-05"	"E07000156"	"Lineage data suppressed"	1
"2020-09-05"	"E07000164"	"Lineage data suppressed"	1
"2020-09-05"	"E07000165"	"AD.2"	1
"2020-09-05"	"E07000165"	"B.1.1.37"	1
"2020-09-05"	"E07000165"	"B.1.177"	2
"2020-09-05"	"E07000168"	"Lineage data suppressed"	1
"2020-09-05"	"E07000169"	"Lineage data suppressed"	1
"2020-09-05"	"E07000171"	"B.1.258"	1
"2020-09-05"	"E07000171"	"B.1.389"	1
"2020-09-05"	"E07000172"	"A.25"	2
"2020-09-05"	"E07000172"	"B.1.258"	1
"2020-09-05"	"E07000172"	"C.35"	2
"2020-09-05"	"E07000173"	"AD.2"	1
"2020-09-05"	"E07000173"	"B.1.177.57"	1
"2020-09-05"	"E07000173"	"B.1.221"	1
"2020-09-05"	"E07000175"	"AD.2"	1
"2020-09-05"	"E07000175"	"B.1.177"	1
"2020-09-05"	"E07000175"	"B.1.532"	1
"2020-09-05"	"E07000176"	"Lineage data suppressed"	1
"2020-09-05"	"E07000177"	"Lineage data suppressed"	4
"2020-09-05"	"E07000178"	"B.1.1"	1
"2020-09-05"	"E07000178"	"B.1.1.305"	1
"2020-09-05"	"E07000178"	"B.1.177.7"	1
"2020-09-05"	"E07000178"	"B.1.177.81"	1
"2020-09-05"	"E07000178"	"B.1.221"	1
"2020-09-05"	"E07000178"	"None"	2
"2020-09-05"	"E07000179"	"AD.2"	2
"2020-09-05"	"E07000179"	"B.1.1.277"	1
"2020-09-05"	"E07000179"	"B.1.1.37"	1
"2020-09-05"	"E07000179"	"B.1.177"	1
"2020-09-05"	"E07000179"	"B.1.258"	1
"2020-09-05"	"E07000180"	"B.1.1.37"	1
"2020-09-05"	"E07000180"	"B.1.1.433"	1
"2020-09-05"	"E07000180"	"B.1.160"	1
"2020-09-05"	"E07000180"	"B.1.177.7"	2
"2020-09-05"	"E07000181"	"AD.2"	5
"2020-09-05"	"E07000181"	"B.1.177"	1
"2020-09-05"	"E07000181"	"B.1.258"	1
"2020-09-05"	"E07000181"	"C.30"	1
"2020-09-05"	"E07000187"	"Lineage data suppressed"	1
"2020-09-05"	"E07000188"	"Lineage data suppressed"	1
"2020-09-05"	"E07000193"	"B.1.36.17"	1
"2020-09-05"	"E07000193"	"B.1.610"	1
"2020-09-05"	"E07000198"	"Lineage data suppressed"	1
"2020-09-05"	"E07000199"	"Lineage data suppressed"	1
"2020-09-05"	"E07000200"	"B.1.160"	1
"2020-09-05"	"E07000200"	"B.1.177"	1
"2020-09-05"	"E07000202"	"B.1.36.22"	1
"2020-09-05"	"E07000202"	"B.1.9.4"	2
"2020-09-05"	"E07000203"	"AD.2"	2
"2020-09-05"	"E07000203"	"B.1.1.198"	1
